Wavelength - Plot 0	Volt - Plot 0	
600	0,00038097	
600,03	0,00038199	
600,06	0,00038342	
600,09	0,0003824	
600,12	0,00038281	
600,15	0,00037749	
600,18	0,00038138	
600,21	0,0003824	
600,24	0,00038281	
600,27	0,0003826	
600,3	0,00038138	
600,33	0,0003826	
600,36	0,00038076	
600,39	0,00038076	
600,42	0,00038219	
600,45	0,00038199	
600,48	0,0003826	
600,51	0,00038403	
600,54	0,00037933	
600,57	0,00038301	
600,6	0,00038219	
600,63	0,00038199	
600,66	0,00038362	
600,69	0,00038158	
600,72	0,00038138	
600,75	0,00038178	
600,78	0,00038076	
600,81	0,00038321	
600,84	0,00038444	
600,87	0,00038056	
600,9	0,00037995	
600,93	0,00037913	
600,96	0,00038219	
600,99	0,0003824	
601,02	0,00038199	
601,05	0,00038321	
601,08	0,00038321	
601,11	0,00038219	
601,14	0,00038199	
601,17	0,00038076	
601,2	0,00038056	
601,23	0,00038301	
601,26	0,0003824	
601,29	0,00038158	
601,32	0,00038158	
601,35	0,00038464	
601,38	0,00038301	
601,41	0,00038138	
601,44	0,00038321	
601,47	0,00038464	
601,5	0,00038301	
601,53	0,00038362	
601,56	0,00038219	
601,59	0,00038362	
601,62	0,00038342	
601,65	0,00038505	
601,68	0,00038321	
601,71	0,00038321	
601,74	0,00038301	
601,77	0,00038505	
601,8	0,00038607	
601,83	0,00038485	
601,86	0,00038362	
601,89	0,00038362	
601,92	0,00038383	
601,95	0,00038199	
601,98	0,00038403	
602,01	0,00038342	
602,04	0,00038485	
602,07	0,00038444	
602,1	0,00038321	
602,13	0,00038485	
602,16	0,00038383	
602,19	0,00038321	
602,22	0,00038546	
602,25	0,00038485	
602,28	0,00038403	
602,31	0,00038689	
602,34	0,0003824	
602,37	0,00038546	
602,4	0,00038362	
602,43	0,00038424	
602,46	0,0003875	
602,49	0,00038424	
602,52	0,00038546	
602,55	0,00038505	
602,58	0,00038342	
602,61	0,00038607	
602,64	0,00038587	
602,67	0,00038505	
602,7	0,00038689	
602,73	0,00038485	
602,76	0,00038403	
602,79	0,00038587	
602,82	0,00038526	
602,85	0,0003873	
602,88	0,00038689	
602,91	0,00038526	
602,94	0,00038648	
602,97	0,00038362	
603	0,00038485	
603,03	0,00038526	
603,06	0,00038567	
603,09	0,00038853	
603,12	0,00038526	
603,15	0,00038853	
603,18	0,00038628	
603,21	0,00038567	
603,24	0,00038505	
603,27	0,00038567	
603,3	0,00038648	
603,33	0,00038832	
603,36	0,00038505	
603,39	0,00038689	
603,42	0,00038628	
603,45	0,0003875	
603,48	0,00038546	
603,51	0,00038567	
603,54	0,00038669	
603,57	0,00038648	
603,6	0,00038607	
603,63	0,00038689	
603,66	0,00038648	
603,69	0,00038689	
603,72	0,00038832	
603,75	0,00038444	
603,78	0,0003871	
603,81	0,0003875	
603,84	0,0003871	
603,87	0,00038546	
603,9	0,00038689	
603,93	0,00038771	
